name,created_at,type,pointer,file_id,status,notes
cyberpoker_beginner_manual_v1.html,2026-07-09T08:59:53Z,HTML 教學手冊,2:5,file_00000000d4ac7207bf1f2daddb803a75,原始檔位於 ChatGPT File Library；整合包收錄中繼資料與辨識摘要,CyberPoker 新手教學手冊 V1，含搜尋、牌型、流程、同牌型比較與基本操作。
cyberpoker_beginner_manual_v2.html,2026-07-09T09:24:13Z,HTML 教學手冊,2:2,file_00000000e7e472098ec52abd0e5afb7e,原始檔位於 ChatGPT File Library；整合包收錄中繼資料與辨識摘要,CyberPoker 新手教學手冊 V2，擴充位置、下注、All-in 與邊池。
cyberpoker_beginner_manual_v2_no_search.html,2026-07-09T09:28:56Z,HTML 教學手冊,2:0,file_00000000f240720983c5ff0394c84490,原始檔位於 ChatGPT File Library；整合包收錄中繼資料與辨識摘要,V2 無搜尋版。
cyberpoker_beginner_manual_v3_icons.html,2026-07-09T09:30:47Z,HTML 教學手冊,2:16,file_00000000d05072099976842b052bec35,原始檔位於 ChatGPT File Library；整合包收錄中繼資料與辨識摘要,V3 圖示版，新增圖示導覽與視覺提示。
cyberpoker_beginner_manual_v4_table_visual.html,2026-07-09T09:48:06Z,HTML 教學手冊,2:4,file_0000000098b472098b062bf0a2b9888d,原始檔位於 ChatGPT File Library；整合包收錄中繼資料與辨識摘要,V4 牌桌示意版，加入桌面圖、座位圖與底池圖。
像素風格撲克牌資源表.png,2026-07-19T09:25:12Z,PNG 圖片,2:19,file_0000000064a08209b3c9fa04e36271b7,原始圖片位於 ChatGPT File Library；整合包收錄圖片說明,像素風格牌面資源與牌面要素參考。
繽紛牌組設計圖.png,2026-07-20T04:05:47Z,PNG 圖片,2:18,file_000000007200820c8baf88d0d8a8ffa5,原始圖片位於 ChatGPT File Library；整合包收錄圖片說明,用於同風格原創牌組與經典牌組替換參考。
ai.html,2026-06-26T15:00:36Z,HTML 遊戲原型,7:13,file_000000003428720784c0f38980b4ad1b,原始檔位於 ChatGPT File Library；整合包收錄中繼資料與辨識摘要,含牌局狀態、AI、玩家生涯、成就與本機儲存的早期 CyberPoker 原型。
app_deluxe_v2.js,2026-06-25T16:42:00Z,JavaScript 遊戲程式,7:0,file_00000000461872098a6e4dd366db0de4,原始檔位於 ChatGPT File Library；整合包收錄中繼資料與辨識摘要,Deluxe V2 遊戲邏輯，含 AI、音效、自動新牌局、生涯與成就附加功能。
app_fixed.js,2026-06-24T06:53:03Z,JavaScript 遊戲程式,7:4,file_00000000d2287209a2a8eb5504f49070,原始檔位於 ChatGPT File Library；整合包收錄中繼資料與辨識摘要,早期輪流指針、最後加注者、莊家位與表態計算修正版。
app_stable_rebuild.js,2026-06-24T19:55:51Z,JavaScript 遊戲程式,7:6,file_0000000036c07206b1bab730cbc3e952,原始檔位於 ChatGPT File Library；整合包收錄中繼資料與辨識摘要,早期穩定重建版。
已貼上文字 (1).txt,2026-06-25T16:25:46Z,文字／程式碼備份,7:2,file_000000003d0c7209933968a09f38f83f,原始檔位於 ChatGPT File Library；整合包收錄中繼資料與辨識摘要,與 Deluxe V2 相近的程式碼文字備份。
已貼上文字 (1).txt,2026-06-25T16:35:24Z,文字／程式碼備份,7:3,file_000000008bc87209a71a4026d29ee441,原始檔位於 ChatGPT File Library；整合包收錄中繼資料與辨識摘要,同名的另一份程式碼文字備份，保留為可能的歷史版本。
index.html,2026-07-06T06:13:53Z,HTML 遊戲頁面,7:16,file_0000000073ec71fdb1144c83e7acf7a9,原始檔位於 ChatGPT File Library；整合包收錄中繼資料與辨識摘要,德州撲克遊戲頁，含棄牌、跟注、加注、All-in、快捷下注與 Poker Coach 側欄。
